case_id,title,source_name,source_type,source_url,source_locator,public_status,license_or_reuse_note,app_family,vuln_class_raw,vuln_class_norm,attack_surface_keywords,endpoint_pattern,endpoint_pattern_status,seed_params,seed_params_status,expected_evidence,emulation_grade,automation_grade,north_star_section,statefulness,difficulty,difficulty_scale,description,hints,tags,normalization_confidence,extraction_notes,second_order_sink
juice-web3sandboxchallenge,Web3 Sandbox,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,web3SandboxChallenge,public,official public training-app challenge definition,juice-shop,Broken Access Control,access-control.unauthorized-access,['wallet'],"['/(#/)?wallet\\b', '/(#/)?token-sale\\b', '/api/.*web3']",heuristic,[],unknown,resource or action is available without the intended authorization checks,stateful,signature_plus_state,access-control,stateful,1,juice-shop-1-6,Find an accidentally deployed code sandbox for writing smart contracts on the fly.,['It is just as easy as finding the Score Board.'],['Web3'],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-rcechallenge,Blocked RCE DoS,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,rceChallenge,public,official public training-app challenge definition,juice-shop,Insecure Deserialization,nosqli,['generic-web'],,unknown,"['id', 'q', 'filter']",heuristic,attacker-controlled input changes backend query or execution semantics,replayable,signature,injection,stateless,5,juice-shop-1-6,Perform a Remote Code Execution that would keep a less hardened application busy forever.,"['The feature you need to exploit for this challenge is not directly advertised anywhere.', 'As the Juice Shop is written in pure Javascript, there is one data format that is most probably used for serialization.', 'You should try to make the server busy for all eternity.', 'The challenge will be solved if you manage to trigger the protection of the application against a very specific DoS attack vector.', 'Similar to the ""Let the server sleep for some time"" challenge (which accepted nothing but NoSQL Injection as a solution) this challenge will only accept proper RCE as a solution. It cannot be solved by simply hammering the server with requests. That would probably just kill your server instance.']",['Danger Zone'],0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-captchabypasschallenge,CAPTCHA Bypass,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,captchaBypassChallenge,public,official public training-app challenge definition,juice-shop,Broken Anti Automation,anti-automation-bypass,"['feedback', 'client']","['/api/feedback', '/(#/)?contact\\b']",heuristic,[],unknown,"rate limit, CAPTCHA, or bot controls are bypassable",workflow,ai_assisted,anti-automation,workflow,3,juice-shop-1-6,Submit 10 or more customer feedbacks within 20 seconds.,"['After finding a CAPTCHA bypass, write a script that automates feedback submission. Or open many browser tabs and be really quick.', 'You could prepare 10 browser tabs, solving every CAPTCHA and filling out the each feedback form. Then you’d need to very quickly switch through the tabs and submit the forms in under 20 seconds total.', 'Should the Juice Shop ever decide to change the challenge into ""Submit 100 or more customer feedbacks within 60 seconds"" or worse, you’d probably have a hard time keeping up with any tab-switching approach.', 'Investigate closely how the CAPTCHA mechanism works and try to find either a bypass or some automated way of solving it dynamically.', 'Wrap this into a script (in whatever programming language you prefer) that repeats this 10 times.']",['Brute Force'],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-changepasswordbenderchallenge,Change Bender's Password,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,changePasswordBenderChallenge,public,official public training-app challenge definition,juice-shop,Broken Authentication,auth.bypass-or-account-takeover,['login'],"['/(#/)?login\\b', '/rest/user/login', '/rest/user/reset-password']",heuristic,"['email', 'password', 'id', 'q', 'filter']",heuristic,authentication or password workflow can be bypassed or abused,workflow,signature_plus_state,auth,workflow,5,juice-shop-1-6,Change Bender's password into slurmCl4ssic without using SQL Injection or Forgot Password.,"['In previous releases this challenge was wrongly accused of being based on CSRF.', 'It might also have been put into the Improper Input Validation category.', 'Bender’s current password is so strong that brute force, rainbow table or guessing attacks will probably not work.']",[],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-christmasspecialchallenge,Christmas Special,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,christmasSpecialChallenge,public,official public training-app challenge definition,juice-shop,Injection,sqli,['client'],,unknown,"['id', 'q', 'filter']",heuristic,attacker-controlled input changes backend query or execution semantics,workflow,ai_assisted,injection,workflow,4,juice-shop-1-6,Order the Christmas special offer of 2014.,"['Find out how the application handles unavailable products and try to find a loophole.', 'Find out how the application hides deleted products from its customers.', 'Try to craft an attack string that makes deleted products visible again.', 'You need to get the deleted product into your shopping cart and trigger the Checkout.', 'Neither of the above can be achieved through the application frontend and it might even require (half-)Blind SQL Injection.']",[],0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-usernamexsschallenge,CSP Bypass,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,usernameXssChallenge,public,official public training-app challenge definition,juice-shop,XSS,xss.csp-bypass,['cloud'],"['/(#/)?search\\b', '/rest/products/search']",heuristic,"['q', 'search', 'query', 'id', 'filter']",heuristic,payload execution requires bypassing CSP or client-side filters,workflow,browser_assisted,xss,workflow,4,juice-shop-1-6,Bypass the Content Security Policy and perform an XSS attack with alert(`xss`) on a legacy page within the application.,"['What is even ""better"" than a legacy page with a homegrown RegEx sanitizer? Having CSP injection issues on the exact same page as well!', 'Find a screen in the application that looks subtly odd and dated compared with all other screens.', 'Before trying any XSS attacks, you should understand how the page is setting its Content Security Policy.', 'For the subsequent XSS, make good use of the flaws in the homegrown sanitization based on a RegEx!']",['Danger Zone'],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-persistedxssuserchallenge,Client-side XSS Protection,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,persistedXssUserChallenge,public,official public training-app challenge definition,juice-shop,XSS,xss.dom,['client'],"['/(#/)?search\\b', '/rest/products/search']",heuristic,"['q', 'search', 'query']",heuristic,attacker-controlled input reaches a browser-executable DOM sink,workflow,browser_assisted,xss,workflow,3,juice-shop-1-6,Perform a persisted XSS attack with bypassing a client-side security mechanism.,"['There are only some input fields in the Juice Shop forms that validate their input.', 'Even less of these fields are persisted in a way where their content is shown on another screen.', 'Bypassing client-side security can typically be done by either disabling it on the client (i.e. in the browser by manipulating the DOM tree) or by ignoring it completely and interacting with the backend instead.']",['Danger Zone'],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-directorylistingchallenge,Confidential Document,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,directoryListingChallenge,public,official public training-app challenge definition,juice-shop,Sensitive Data Exposure,info-disclosure,['file'],"['/ftp(?:/|$)', '/assets/', '/download', '/logs?']",heuristic,"['path', 'file', 'filename']",heuristic,"sensitive file, data object, or credential material is retrievable without intended protection",replayable,signature,exposure,stateless,1,juice-shop-1-6,Access a confidential document.,"['Analyze and tamper with links in the application that deliver a file directly.', 'The file you are looking for is not protected in any way. Once you found it you can also access it.']",['Good for Demos'],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-localxsschallenge,DOM XSS,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,localXssChallenge,public,official public training-app challenge definition,juice-shop,XSS,xss.dom,['client'],"['/(#/)?search\\b', '/rest/products/search']",heuristic,"['q', 'search', 'query']",heuristic,attacker-controlled input reaches a browser-executable DOM sink,workflow,browser_assisted,xss,workflow,1,juice-shop-1-6,Perform a DOM XSS attack with .,"['Look for an input field where its content appears in the HTML when its form is submitted.', 'This challenge is almost indistinguishable from ""Perform a reflected XSS attack"" if you do not look ""under the hood"" to find out what the application actually does with the user input.']","['Tutorial', 'Good for Demos']",0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-dbschemachallenge,Database Schema,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,dbSchemaChallenge,public,official public training-app challenge definition,juice-shop,Injection,sqli,"['api', 'client']",,unknown,"['id', 'q', 'filter']",heuristic,attacker-controlled input changes backend query or execution semantics,workflow,ai_assisted,injection,workflow,3,juice-shop-1-6,Exfiltrate the entire DB schema definition via SQL Injection.,"['Find out where this information could come from. Then craft an attack string against an endpoint that offers an unnecessary way to filter data.', 'Find out which database system is in use and where it would usually store its schema definitions.', 'Craft a UNION SELECT attack string to join the relevant data from any such identified system table into the original result.', 'You might have to tackle some query syntax issues step-by-step, basically hopping from one error to the next.', 'As with ""Order the Christmas special offer of 2014"" this cannot be achieved through the application frontend.']",[],0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-deprecatedinterfacechallenge,Deprecated Interface,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,deprecatedInterfaceChallenge,public,official public training-app challenge definition,juice-shop,Security Misconfiguration,security-misconfiguration,['config'],,unknown,[],unknown,"unsafe defaults, deprecated interfaces, or verbose error handling are externally observable",replayable,signature,misconfig,stateless,2,juice-shop-1-6,Use a deprecated B2B interface that was not properly shut down.,"['The developers who disabled the interface think they could go invisible by just closing their eyes.', 'The old B2B interface was replaced with a more modern version recently.', 'When deprecating the old interface, not all of its parts were cleanly removed from the code base.', 'Simply using the deprecated interface suffices to solve this challenge. No attack or exploit is necessary.']","['Contraption', 'Prerequisite']",0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-easteregglevelonechallenge,Easter Egg,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,easterEggLevelOneChallenge,public,official public training-app challenge definition,juice-shop,Broken Access Control,access-control.unauthorized-access,['file'],"['/ftp(?:/|$)', '/assets/', '/download', '/logs?']",heuristic,"['path', 'file', 'filename']",heuristic,resource or action is available without the intended authorization checks,stateful,signature_plus_state,access-control,stateful,4,juice-shop-1-6,Find the hidden easter egg.,"['If you solved one of the four file access challenges, you already know where to find the easter egg.', 'Simply reuse the trick that already worked for the files above.']","['Shenanigans', 'Contraption', 'Good for Demos']",0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-emailleakchallenge,Email Leak,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,emailLeakChallenge,public,official public training-app challenge definition,juice-shop,Sensitive Data Exposure,sqli,"['api', 'client']",,unknown,"['id', 'q', 'filter']",heuristic,attacker-controlled input changes backend query or execution semantics,replayable,signature,injection,stateless,5,juice-shop-1-6,Perform an unwanted information disclosure by accessing data cross-domain.,"['Try to find and attack an endpoint that responds with user information. SQL Injection is not the solution here.', 'What ways are there to access data from a web application cross-domain?', 'This challenge uses an old way which is no longer recommended.']",[],0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-emptyuserregistration,Empty User Registration,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,emptyUserRegistration,public,official public training-app challenge definition,juice-shop,Improper Input Validation,auth.bypass-or-account-takeover,['login'],"['/(#/)?login\\b', '/rest/user/login', '/rest/user/reset-password']",heuristic,"['email', 'password']",heuristic,authentication or password workflow can be bypassed or abused,workflow,signature_plus_state,auth,workflow,2,juice-shop-1-6,Register a user with an empty email and password.,['Consider intercepting and playing with the request payload.'],[],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-ephemeralaccountantchallenge,Ephemeral Accountant,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,ephemeralAccountantChallenge,public,official public training-app challenge definition,juice-shop,Injection,sqli,['file'],"['/ftp(?:/|$)', '/assets/', '/download', '/logs?']",heuristic,"['path', 'file', 'filename', 'id', 'q', 'filter']",heuristic,attacker-controlled input changes backend query or execution semantics,workflow,ai_assisted,injection,workflow,4,juice-shop-1-6,Log in with the (non-existing) accountant acc0unt4nt@juice-sh.op without ever registering that user.,"['Try to create the needed user ""out of thin air"".', 'The user literally needs to be ephemeral as in ""lasting for only a short time"".', 'Registering normally with the user’s email address will then obviously not solve this challenge. The Juice Shop will not even let you register as acc0unt4nt@juice-sh.op, as this would make the challenge unsolvable for you.', 'Getting the user into the database some other way will also fail to solve this challenge. In case you somehow managed to do so, you need to restart the Juice Shop application in order to wipe the database and make the challenge solvable again.', 'The fact that this challenge is in the Injection category should already give away the intended approach.']",[],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-errorhandlingchallenge,Error Handling,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,errorHandlingChallenge,public,official public training-app challenge definition,juice-shop,Security Misconfiguration,security-misconfiguration,['config'],,unknown,"['next', 'url', 'redirect']",heuristic,"unsafe defaults, deprecated interfaces, or verbose error handling are externally observable",replayable,signature,misconfig,stateless,1,juice-shop-1-6,Provoke an error that is neither very gracefully nor consistently handled.,"['Try to submit bad input to forms. Alternatively tamper with URL paths or parameters.', 'This challenge actually triggers from various possible error conditions.', 'You can try to submit bad input to forms to provoke an improper error handling.', 'Tampering with URL paths or parameters might also trigger an unforeseen error.']",['Prerequisite'],0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-manipulateclockchallenge,Expired Coupon,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,manipulateClockChallenge,public,official public training-app challenge definition,juice-shop,Improper Input Validation,generic-web-issue,['generic-web'],,unknown,[],unknown,externally observable security weakness,workflow,ai_assisted,misc,workflow,4,juice-shop-1-6,Successfully redeem an expired campaign coupon code.,"['Try to identify past special event or holiday campaigns of the shop first.', 'Look for clues about the past campaign or holiday event somewhere in the application.', 'Solving this challenge does not require actual time traveling.']",[],0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-extralanguagechallenge,Extra Language,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,extraLanguageChallenge,public,official public training-app challenge definition,juice-shop,Broken Anti Automation,anti-automation-bypass,['generic-web'],,unknown,[],unknown,"rate limit, CAPTCHA, or bot controls are bypassable",workflow,ai_assisted,anti-automation,workflow,5,juice-shop-1-6,First you should find out how the languages are technically changed in the user interface.,"['First you should find out how the languages are technically changed in the user interface.', 'Guessing will most definitely not work in this challenge.', 'Brute force is not the only option for this challenge, but a perfectly viable one.', 'Investigate online what languages are actually available.']",['Brute Force'],0.6,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-feedbackchallenge,Five-Star Feedback,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,feedbackChallenge,public,official public training-app challenge definition,juice-shop,Broken Access Control,access-control.admin-exposure,"['admin', 'feedback']","['/(#/)?admin\\b', '/api/admin\\b', '/api/feedback', '/(#/)?contact\\b']",heuristic,[],unknown,unauthorized user can reach administrative functionality or content,stateful,signature_plus_state,access-control,stateful,2,juice-shop-1-6,Get rid of all 5-star customer feedback.,"['Once you found admin section of the application, this challenge is almost trivial.', 'Nothing happens when you try to delete feedback entries? Check the JavaScript console for errors!']",[],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-forgedcouponchallenge,Forged Coupon,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,forgedCouponChallenge,public,official public training-app challenge definition,juice-shop,Cryptographic Issues,anti-automation-bypass,['search'],"['/(#/)?search\\b', '/rest/products/search']",heuristic,"['q', 'search', 'query']",heuristic,"rate limit, CAPTCHA, or bot controls are bypassable",workflow,ai_assisted,anti-automation,workflow,6,juice-shop-1-6,Forge a coupon code that gives you a discount of at least 80%.,"['Try either a) a knowledgeable brute force attack or b) reverse engineering or c) some research in the cloud.', 'One viable solution would be to reverse-engineer how coupon codes are generated and craft your own 80% coupon by using the same (or at least similar) implementation.', 'Another possible solution might be harvesting as many previous coupon as possible and look for patterns that might give you a leverage for a brute force attack.', 'If all else fails, you could still try to blindly brute force the coupon code field before checkout.']","['Good for Demos', 'Code Analysis']",0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-forgedfeedbackchallenge,Forged Feedback,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,forgedFeedbackChallenge,public,official public training-app challenge definition,juice-shop,Broken Access Control,xss.dom,"['api', 'feedback', 'client']","['/(#/)?search\\b', '/rest/products/search', '/api/feedback', '/(#/)?contact\\b']",heuristic,"['q', 'search', 'query']",heuristic,attacker-controlled input reaches a browser-executable DOM sink,workflow,browser_assisted,xss,workflow,3,juice-shop-1-6,Post some feedback in another user's name.,"['You can solve this by tampering with the user interface or by intercepting the communication with the RESTful backend.', 'To find the client-side leverage point, closely analyze the HTML form used for feedback submission.', 'The backend-side leverage point is similar to some of the XSS challenges found in OWASP Juice Shop.']",['Tutorial'],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-forgedreviewchallenge,Forged Review,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,forgedReviewChallenge,public,official public training-app challenge definition,juice-shop,Broken Access Control,access-control.unauthorized-access,"['feedback', 'client']","['/api/feedback', '/(#/)?contact\\b']",heuristic,[],unknown,resource or action is available without the intended authorization checks,stateful,signature_plus_state,access-control,stateful,3,juice-shop-1-6,Post a product review as another user or edit any user's existing review.,"['Observe the flow of product review posting and editing and see if you can exploit it.', 'This challenge can be solved by using developers tool of your browser or with tools like postman.', 'Analyze the form used for review submission and try to find a leverage point.', 'This challenge is pretty similar to ""Post some feedback in another user’s name"" challenge.']",[],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
